"date","close","volume","open","high","low"
"16:00","113.40","50,315,495","113.37","114.18","112.5201"
"2015/09/22","113.4000","50278030.0000","113.3800","114.1800","112.5201"
"2015/09/21","115.2100","46594220.0000","113.6700","115.3700","113.6600"
"2015/09/18","113.4500","73991000.0000","112.2100","114.3000","111.8700"
"2015/09/17","113.9200","63712340.0000","115.6600","116.4900","113.7150"
"2015/09/16","116.4100","37080720.0000","116.2500","116.5400","115.4400"
"2015/09/15","116.2800","43218350.0000","115.9300","116.5300","114.4200"
"2015/09/14","115.3100","58279570.0000","116.5800","116.8900","114.8600"
"2015/09/11","114.2100","49793750.0000","111.7900","114.2100","111.7600"
"2015/09/10","112.5700","62800770.0000","110.2700","113.2825","109.9000"
"2015/09/09","110.1500","84757780.0000","113.7600","114.0200","109.7700"
"2015/09/08","112.3100","54507300.0000","111.6500","112.5600","110.3200"
"2015/09/04","109.2700","49904460.0000","108.9700","110.4500","108.5100"
"2015/09/03","110.3700","53142590.0000","112.4900","112.7800","110.0400"
"2015/09/02","112.3400","61681250.0000","110.2300","112.3400","109.1310"
"2015/09/01","107.7200","76562170.0000","110.1500","111.8800","107.3600"
"2015/08/31","112.7600","56111590.0000","112.0300","114.5300","112.0000"
"2015/08/28","113.2900","53075960.0000","112.1700","113.3100","111.5400"
"2015/08/27","112.9200","83825220.0000","112.2300","113.2400","110.0200"
"2015/08/26","109.6900","96531890.0000","107.0850","109.8900","105.0500"
"2015/08/25","103.7400","102731700.0000","111.1100","111.1100","103.5000"
"2015/08/24","103.1200","161882500.0000","94.8700","108.8000","92.0000"
"2015/08/21","105.7600","127246600.0000","110.4300","111.9000","105.6450"
"2015/08/20","112.6500","68176940.0000","114.0800","114.3500","111.6300"
"2015/08/19","115.0100","48079330.0000","116.1000","116.5200","114.6800"
"2015/08/18","116.5000","34525630.0000","116.4300","117.4400","116.0100"
"2015/08/17","117.1600","40827260.0000","116.0400","117.6500","115.5000"
"2015/08/14","115.9600","42876370.0000","114.3200","116.3100","114.0100"
"2015/08/13","115.1500","48407640.0000","116.0400","116.4000","114.5400"
"2015/08/12","115.2400","101593400.0000","112.5300","115.4200","109.6300"
"2015/08/11","113.4900","96820670.0000","117.8100","118.1800","113.3300"
"2015/08/10","119.7200","54851010.0000","116.5300","119.9900","116.5300"
"2015/08/07","115.5200","38610120.0000","114.5800","116.2500","114.5000"
"2015/08/06","115.1300","52828890.0000","115.9700","116.5000","114.1150"
"2015/08/05","115.4000","99202400.0000","112.9500","117.4400","112.1000"
"2015/08/04","114.6400","123601900.0000","117.4200","117.7000","113.2500"
"2015/08/03","118.4400","69639900.0000","121.5000","122.5700","117.5200"
"2015/07/31","121.3000","42832890.0000","122.6000","122.6425","120.9100"
"2015/07/30","122.3700","33400950.0000","122.3200","122.5699","121.7100"
"2015/07/29","122.9900","36912040.0000","123.1500","123.5000","122.2700"
"2015/07/28","123.3800","33570380.0000","123.3800","123.9100","122.5500"
"2015/07/27","122.7700","44371580.0000","123.0900","123.6100","122.1200"
"2015/07/24","124.5000","42090320.0000","125.3200","125.7400","123.9000"
"2015/07/23","125.1600","50832950.0000","126.2000","127.0900","125.0600"
"2015/07/22","125.2200","115288400.0000","121.9900","125.5000","121.9900"
"2015/07/21","130.7500","73006780.0000","132.8500","132.9200","130.3200"
"2015/07/20","132.0700","55204920.0000","130.9700","132.9700","130.7000"
"2015/07/17","129.6200","45970470.0000","129.0800","129.6200","128.3100"
"2015/07/16","128.5100","35987630.0000","127.7400","128.5700","127.3500"
"2015/07/15","126.8200","33559770.0000","125.7200","127.1500","125.5800"
"2015/07/14","125.6100","31695870.0000","126.0400","126.3700","125.0400"
"2015/07/13","125.6600","41365600.0000","125.0300","125.7550","124.3200"
"2015/07/10","123.2800","61292800.0000","121.9400","123.8500","121.2100"
"2015/07/09","120.0700","78291510.0000","123.8500","124.0600","119.2200"
"2015/07/08","122.5700","60609830.0000","124.4800","124.6400","122.5400"
"2015/07/07","125.6900","46737090.0000","125.8900","126.1500","123.7700"
"2015/07/06","126.0000","27972950.0000","124.9400","126.2300","124.8500"
"2015/07/02","126.4400","27171180.0000","126.4300","126.6900","125.7700"
"2015/07/01","126.6000","30206890.0000","126.9000","126.9400","125.9900"
"2015/06/30","125.4250","44326050.0000","125.5700","126.1200","124.8600"
"2015/06/29","124.5300","49043410.0000","125.4600","126.4700","124.4800"
"2015/06/26","126.7500","43986290.0000","127.6700","127.9900","126.5100"
"2015/06/25","127.5000","31872390.0000","128.8600","129.2000","127.5000"
"2015/06/24","128.1100","55077520.0000","127.2100","129.8000","127.1200"
"2015/06/23","127.0300","30192140.0000","127.4800","127.6100","126.8792"
"2015/06/22","127.6100","33976180.0000","127.4900","128.0600","127.0800"
